iter	Passed	Remaining
0	1	1248
1	1	795
2	2	679
3	2	586
4	2	547
5	3	506
6	3	482
7	3	466
8	4	475
9	4	478
10	5	475
11	5	467
12	6	464
13	6	467
14	7	461
15	7	456
16	7	453
17	8	445
18	8	438
19	8	432
20	9	427
21	9	428
22	10	443
23	11	449
24	11	446
25	11	441
26	12	442
27	12	440
28	12	435
29	13	429
30	13	424
31	13	419
32	14	414
33	14	410
34	14	405
35	15	401
36	15	397
37	15	394
38	15	391
39	16	387
40	16	383
41	16	380
42	16	377
43	17	374
44	17	371
45	17	369
46	18	366
47	18	364
48	18	362
49	18	359
50	19	357
51	19	356
52	19	354
53	20	352
54	20	350
55	20	348
56	20	346
57	21	345
58	21	343
59	21	342
60	22	341
61	22	339
62	22	338
63	23	336
64	23	335
65	23	334
66	23	333
67	24	332
68	24	330
69	24	329
70	25	328
71	25	327
72	25	326
73	26	326
74	26	326
75	26	325
76	27	324
77	27	325
78	27	324
79	28	323
80	28	322
81	28	321
82	28	318
83	29	317
84	29	316
85	29	315
86	30	314
87	30	313
88	30	313
89	30	312
90	31	311
91	31	310
92	31	309
93	32	308
94	32	308
95	32	307
96	32	307
97	33	306
98	33	305
99	33	304
100	34	303
101	34	302
102	34	302
103	34	301
104	35	300
105	35	300
106	35	299
107	36	299
108	36	300
109	37	299
110	37	299
111	37	298
112	37	297
113	38	296
114	38	296
115	38	295
116	39	294
117	39	293
118	39	293
119	39	292
120	40	291
121	40	290
122	40	290
123	41	290
124	41	289
125	41	289
126	41	288
127	42	287
128	42	287
129	42	286
130	42	285
131	43	284
132	43	284
133	43	283
134	44	282
135	44	282
136	44	282
137	45	282
138	45	281
139	45	281
140	46	280
141	46	279
142	46	278
143	46	278
144	47	278
145	47	278
146	47	278
147	48	277
148	48	276
149	48	276
150	49	275
151	49	275
152	49	274
153	49	274
154	50	274
155	51	276
156	51	276
157	51	276
158	52	275
159	52	275
160	52	274
161	53	274
162	53	274
163	53	273
164	54	274
165	54	273
166	54	273
167	55	272
168	55	272
169	55	272
170	56	271
171	56	271
172	56	270
173	56	270
174	57	269
175	57	269
176	57	268
177	58	268
178	58	267
179	58	267
180	59	266
181	59	266
182	59	265
183	59	265
184	60	264
185	60	264
186	60	263
187	60	263
188	61	262
189	61	262
190	61	261
191	62	261
192	62	261
193	62	260
194	63	260
195	63	259
196	63	259
197	63	258
198	64	258
199	64	257
200	64	257
201	65	257
202	65	256
203	65	256
204	65	255
205	66	255
206	66	255
207	66	254
208	67	254
209	67	253
210	67	253
211	67	252
212	68	252
213	68	252
214	68	251
215	69	251
216	69	250
217	69	250
218	70	250
219	70	249
220	70	249
221	71	249
222	71	249
223	71	249
224	72	248
225	72	248
226	72	247
227	72	247
228	73	246
229	73	246
230	73	246
231	74	245
232	74	245
233	74	244
234	75	244
235	75	243
236	75	243
237	75	243
238	76	242
239	76	242
240	76	241
241	77	241
242	77	241
243	77	240
244	78	240
245	78	239
246	78	239
247	78	239
248	79	238
249	79	238
250	79	237
251	80	237
252	80	237
253	80	236
254	80	236
255	81	235
256	81	235
257	81	235
258	82	234
259	82	234
260	82	233
261	82	233
262	83	233
263	83	232
264	83	232
265	84	232
266	84	231
267	84	231
268	85	231
269	85	230
270	85	230
271	85	230
272	86	229
273	86	229
274	86	229
275	87	228
276	87	228
277	87	227
278	88	227
279	88	227
280	88	226
281	88	226
282	89	226
283	89	225
284	89	225
285	90	224
286	90	224
287	90	224
288	90	223
289	91	223
290	91	223
291	91	222
292	92	222
293	92	222
294	92	221
295	93	221
296	93	221
297	93	220
298	94	220
299	94	220
300	94	219
301	94	219
302	95	218
303	95	218
304	95	218
305	96	217
306	96	217
307	96	217
308	96	216
309	97	216
310	97	216
311	98	216
312	98	216
313	98	216
314	99	215
315	99	215
316	100	215
317	100	215
318	100	214
319	100	214
320	101	214
321	101	213
322	101	213
323	102	213
324	102	212
325	102	212
326	103	212
327	103	211
328	103	211
329	103	211
330	104	210
331	104	210
332	104	209
333	105	209
334	105	209
335	105	208
336	105	208
337	106	208
338	106	207
339	106	207
340	107	206
341	107	206
342	107	206
343	108	205
344	108	205
